id,pipeline_id,name,position,show_in_reports,created_at,updated_at,description
1,1,FDPF Pending Reason,1,false,2026-03-16 22:46:19.451999+00,2026-03-16 23:07:37.331055+00,Leads that failed their first draft payment due to missing or pending reasons. These require immediate investigation to resolve the payment issue.
2,1,FDPF Insufficient Funds,2,true,2026-03-16 22:46:19.451999+00,2026-03-16 23:07:37.331055+00,Leads that failed their first draft payment due to insufficient funds (NSF). These require immediate investigation to resolve the payment issue.
3,1,FDPF Incorrect Banking Info,3,true,2026-03-16 22:46:19.451999+00,2026-03-16 23:07:37.331055+00,Leads that failed their first draft payment due to wrong account information. These require immediate investigation to resolve the payment issue.
4,1,FDPF Unauthorized Draft,4,true,2026-03-16 22:46:19.451999+00,2026-03-16 23:07:37.331055+00,Payments failed because the bank did not authorize the draft. Requires a three-way call with the bank and client to authorize before redating the policy.
5,1,Pending Failed Payment Fix,5,true,2026-03-16 22:46:19.451999+00,2026-03-16 23:07:37.331055+00,Indicates an agent has requested a policy redate or redraft following a failed payment. Leads move back to the customer pipeline if successful or return to FDPF if they fail again.
6,1,Pending Lapse,9,true,2026-03-16 22:46:19.451999+00,2026-03-16 23:07:37.331055+00,Clients who previously made payments but have now missed a subsequent premium. Urgent action is needed to update billing or request a redraft to prevent a full chargeback.
7,1,Chargeback Failed Payment,6,true,2026-03-16 22:46:19.451999+00,2026-03-16 23:07:37.331055+00,Policies that are fully cancelled because a redraft or billing update wasn't completed in time. A brand new application is required if the client wants coverage again.
8,1,Chargeback Cancellation,7,true,2026-03-16 22:46:19.451999+00,2026-03-16 23:07:37.331055+00,Leads who requested cancellation or were cancelled by the carrier before commissions were received. Agents must contact these clients to determine the reason and attempt a new sale.
9,1,Pending Chargeback Fix,8,true,2026-03-16 22:46:19.451999+00,2026-03-16 23:07:37.331055+00,Tracks the original charged-back policy (with negative value) while a new fix policy has been sold. It remains here until the new policy drafts successfully or also charges back.
10,1,Chargeback Fixed,14,true,2026-03-16 22:46:19.451999+00,2026-03-16 23:07:37.331055+00,The negative value of a previous chargeback is moved here once a new fix policy is successfully paying premiums. This allows the agency to track recovered value.
12,2,Issued - Pending First Draft,1,true,2026-03-16 22:46:19.451999+00,2026-03-16 23:07:37.331055+00,"Leads approved by the carrier that are waiting for the first premium payment to process. The wait time varies by carrier, ranging from 24 hours to 4 business days."
13,2,Premium Paid - Commission Pending,2,true,2026-03-16 22:46:19.451999+00,2026-03-16 23:07:37.331055+00,"The client has successfully paid their first premium, but the agency has not yet received the commission payment. This tracks the gap between client payment and agency revenue."
14,2,ACTIVE PLACED - Paid as Earned,3,true,2026-03-16 22:46:19.451999+00,2026-03-16 23:07:37.331055+00,Policies that pay commissions as they are earned that have successfully completed their first draft. This stage marks the beginning of the active policy lifecycle.
15,2,ACTIVE PLACED - Paid as Advanced,4,true,2026-03-16 22:46:19.451999+00,2026-03-16 23:07:37.331055+00,Policies that pay commissions in advance that have successfully completed their first draft. The client is now considered active and placed within the system.
16,2,ACTIVE - 3 Months +,5,true,2026-03-16 22:46:19.451999+00,2026-03-16 23:07:37.331055+00,Tracks active clients who have consistently paid their premiums for 3 months. This monitors long-term policy retention and stability.
17,2,ACTIVE - 6 months +,6,true,2026-03-16 22:46:19.451999+00,2026-03-16 23:07:37.331055+00,Tracks active clients who have consistently paid their premiums for 6 months. This monitors long-term policy retention and stability.
18,2,ACTIVE - 9 months,7,true,2026-03-16 22:46:19.451999+00,2026-03-16 23:07:37.331055+00,Tracks active clients who have consistently paid their premiums for 9 months. This monitors long-term policy retention and stability.
19,2,ACTIVE - Past Charge-Back Period,8,true,2026-03-16 22:46:19.451999+00,2026-03-16 23:07:37.331055+00,Clients who have maintained their policy long enough to move beyond the carrier's chargeback window. These represent fully secured commissions for the agency.
115,1,Chargeback DQ,15,true,2026-03-29 20:53:31.557621+00,2026-03-29 20:53:31.557621+00,Customers who have caused multiple chargebacks within the agency. This stage serves to flag high-risk individuals to prevent further loss.
116,4,Transfer API,1,true,2026-03-29 21:09:28.850699+00,2026-03-29 21:09:28.850699+00,Initial landing spot for new leads from Jotform submissions. Opportunities stay here until the end of the day when they are categorized and noted.
120,4,Chargeback Fix API,2,true,2026-04-03 21:24:22.966589+00,2026-04-03 21:24:22.966589+00,Entry point for new Jotform submissions specifically related to customers with existing chargeback issues. Leads are moved to specific categories with added notes at the end of each day.
121,4,Incomplete Transfer,3,true,2026-04-03 21:24:22.966589+00,2026-04-03 21:24:22.966589+00,Used for calls that were never successfully transferred or dropped before the agent could confirm required details. This tracks leads that need further initial contact.
122,4,Returned To Center - DQ,4,true,2026-04-03 21:24:22.966589+00,2026-04-03 21:24:22.966589+00,Leads that are eligible for a policy but the agency is not interested in selling to them. These are Orbit Insurance disqualifications and will not be accepted if re-transferred.
123,4,Previously Sold BPO,5,true,2026-04-03 21:24:22.966589+00,2026-04-03 21:24:22.966589+00,Existing clients with a policy where the initial draft date has not yet passed. Notes are added to schedule a follow-up call for additional coverage one week after the draft date.
124,4,DQ'd Can't be sold,6,true,2026-04-03 21:24:22.966589+00,2026-04-03 21:24:22.966589+00,Fully disqualified leads that the agency believes should not be contacted or sold a policy by anyone. This represents a total exclusion from the sales funnel.
125,4,Needs LA Callback,7,true,2026-04-03 21:24:22.966589+00,2026-04-03 21:24:22.966589+00,"Leads that couldn't be submitted because essential information, like SSN or banking details, was missing. These require a callback to finalize the application."
126,4,Application Withdrawn,8,true,2026-04-03 21:24:22.966589+00,2026-04-03 21:24:22.966589+00,Submitted applications that were withdrawn by the carrier for reasons like max coverage or too many prior attempts. Specific internal notes will explain the reason for each withdrawal.
127,4,Declined Underwriting,9,true,2026-04-03 21:24:22.966589+00,2026-04-03 21:24:22.966589+00,Leads that have been declined by all current carriers available to the agency. These may be revisited in the future if new carrier options become available.
128,4,Pending Approval,10,true,2026-04-03 21:24:22.966589+00,2026-04-03 21:24:22.966589+00,The holding stage for applicants after an application has been submitted to a carrier. Leads remain here until the carrier provides an approval decision.
129,4,Pending Manual Action,11,true,2026-04-03 21:24:22.966589+00,2026-04-03 21:24:22.966589+00,"Applications that are paused because the carrier requires more information, such as form corrections or a phone interview. Actions must be completed before the carrier continues investigation."
142,4,GI DQ,12,true,2026-04-09 17:51:17.603799+00,2026-04-09 17:51:17.603799+00,GI Qualified Customers
147,4,TCPA,13,true,2026-04-16 17:27:50.864888+00,2026-04-16 17:27:50.864888+00,TCPA list
148,1,Pending Lapse Pending Reason,10,true,2026-04-29 17:55:38.870833+00,2026-04-29 17:55:38.870833+00,
149,1,Pending Lapse Unauthorized Draft,11,true,2026-04-29 17:59:41.086952+00,2026-04-29 17:59:41.086952+00,
150,1,Pending Lapse Incorrect Banking Info,12,true,2026-04-29 18:00:09.993773+00,2026-04-29 18:00:09.993773+00,
151,1,Pending Lapse Insufficient Funds,13,true,2026-04-29 18:00:36.820496+00,2026-04-29 18:00:36.820496+00,
